Calculated At,Created,From,Municipality ID,Municipality Name,Parameter ID,QC Status,Time Resolution,To,Value
2024-05-30T11:24:24.624000,2024-05-30T11:24:48.404037+00:00,2022-12-31T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2023-01-01T00:00:00+01:00,3.6
2023-02-16T17:32:56.518000,2023-05-22T19:50:46.155845+00:00,2022-12-30T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-31T00:00:00+01:00,2.5
2023-02-16T17:25:06.761000,2023-05-22T19:50:42.414000+00:00,2022-12-29T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-30T00:00:00+01:00,3.9
2023-02-16T17:18:41.017000,2023-05-22T19:50:27.984154+00:00,2022-12-28T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-29T00:00:00+01:00,8.0
2023-02-16T17:12:49.910000,2023-05-22T19:50:24.246279+00:00,2022-12-27T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-28T00:00:00+01:00,0.1
2023-02-16T17:06:54.970000,2023-05-22T19:50:20.231245+00:00,2022-12-26T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-27T00:00:00+01:00,2.5
2023-02-16T17:01:22.570000,2023-05-22T19:50:05.115318+00:00,2022-12-25T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-26T00:00:00+01:00,1.9
2023-02-16T16:57:53.667000,2023-05-22T19:50:01.155871+00:00,2022-12-24T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-25T00:00:00+01:00,0.0
2023-02-16T16:50:32.838000,2023-05-22T19:49:57.035469+00:00,2022-12-23T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-24T00:00:00+01:00,0.1
2023-02-16T16:45:04.237000,2023-05-22T19:49:43.134942+00:00,2022-12-22T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-23T00:00:00+01:00,0.2
2023-02-16T16:41:15.573000,2023-05-22T19:49:39.327789+00:00,2022-12-21T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-22T00:00:00+01:00,0.2
2023-02-16T16:36:10.344000,2023-05-22T19:49:35.518228+00:00,2022-12-20T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-21T00:00:00+01:00,2.5
2023-02-16T16:29:49.398000,2023-05-22T19:49:20.317289+00:00,2022-12-19T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-20T00:00:00+01:00,6.3
2023-02-16T16:23:15.769000,2023-05-22T19:49:16.429401+00:00,2022-12-18T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-19T00:00:00+01:00,0.0
2023-02-16T16:17:22.488000,2023-05-22T19:49:12.617092+00:00,2022-12-17T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-18T00:00:00+01:00,0.0
2023-02-16T16:11:31.838000,2023-05-22T19:48:57.600260+00:00,2022-12-16T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-17T00:00:00+01:00,0.0
2023-02-16T16:07:20.413000,2023-05-22T19:48:53.944391+00:00,2022-12-15T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-16T00:00:00+01:00,0.2
2023-02-16T16:02:37.317000,2023-05-22T19:48:50.229882+00:00,2022-12-14T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-15T00:00:00+01:00,0.0
2023-02-16T15:55:13.238000,2023-05-22T19:48:34.449992+00:00,2022-12-13T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-14T00:00:00+01:00,0.0
2023-02-16T15:47:55.524000,2023-05-22T19:48:30.325244+00:00,2022-12-12T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-13T00:00:00+01:00,0.0
2023-02-16T15:40:56.982000,2023-05-22T19:48:26.825428+00:00,2022-12-11T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-12T00:00:00+01:00,0.0
2023-02-16T15:34:43.867000,2023-05-22T19:48:11.560430+00:00,2022-12-10T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-11T00:00:00+01:00,0.2
2023-02-16T15:29:29.404000,2023-05-22T19:48:07.878771+00:00,2022-12-09T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-10T00:00:00+01:00,0.0
2023-02-16T15:23:40.344000,2023-05-22T19:48:04.187098+00:00,2022-12-08T00:00:00.001000+01:00,0169,Høje-Taastrup,acc_precip,manual,day,2022-12-09T00:00:00+01:00,0.0
