Calculated At,Created,From,Municipality ID,Municipality Name,Parameter ID,QC Status,Time Resolution,To,Value
2023-02-19T16:31:36.793000,2023-05-22T19:50:49.592978+00:00,2022-12-31T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2023-01-01T00:00:00+01:00,94.1
2023-02-19T16:29:48.994000,2023-05-22T19:50:45.850769+00:00,2022-12-30T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-31T00:00:00+01:00,85.6
2023-02-19T16:28:03.660000,2023-05-22T19:50:42.238676+00:00,2022-12-29T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-30T00:00:00+01:00,90.8
2023-02-19T16:26:16.510000,2023-05-22T19:50:27.643493+00:00,2022-12-28T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-29T00:00:00+01:00,94.5
2023-02-19T16:23:55.234000,2023-05-22T19:50:23.840844+00:00,2022-12-27T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-28T00:00:00+01:00,87.5
2023-02-19T16:21:25.752000,2023-05-22T19:50:19.810920+00:00,2022-12-26T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-27T00:00:00+01:00,94.7
2023-02-19T16:17:49.358000,2023-05-22T19:50:04.569181+00:00,2022-12-25T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-26T00:00:00+01:00,98.6
2023-02-19T16:15:35.624000,2023-05-22T19:50:00.691427+00:00,2022-12-24T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-25T00:00:00+01:00,89.2
2023-02-19T16:13:23.606000,2023-05-22T19:49:56.554638+00:00,2022-12-23T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-24T00:00:00+01:00,89.2
2023-02-19T16:11:11.326000,2023-05-22T19:49:42.827284+00:00,2022-12-22T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-23T00:00:00+01:00,95.7
2023-02-19T16:08:40.494000,2023-05-22T19:49:38.864186+00:00,2022-12-21T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-22T00:00:00+01:00,98.6
2023-02-19T16:06:37.934000,2023-05-22T19:49:35.029412+00:00,2022-12-20T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-21T00:00:00+01:00,97.9
2023-02-19T16:04:58.945000,2023-05-22T19:49:20.079956+00:00,2022-12-19T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-20T00:00:00+01:00,90.0
2023-02-19T16:03:28.484000,2023-05-22T19:49:16.341710+00:00,2022-12-18T00:00:00.001000+01:00,0169,Høje-Taastrup,mean_relative_hum,manual,day,2022-12-19T00:00:00+01:00,82.6
