Calculated At,Created,From,Municipality ID,Municipality Name,Parameter ID,QC Status,Time Resolution,To,Value
2023-01-14T14:47:01.368000,2023-05-22T19:50:49.651845+00:00,2022-12-31T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2023-01-01T00:00:00+01:00,0.0
2023-01-14T14:46:48.384000,2023-05-22T19:50:45.973594+00:00,2022-12-30T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-31T00:00:00+01:00,1.3
2023-01-14T14:46:31.768000,2023-05-22T19:50:42.130002+00:00,2022-12-29T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-30T00:00:00+01:00,0.5
2023-01-14T14:46:09.127000,2023-05-22T19:50:27.494773+00:00,2022-12-28T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-29T00:00:00+01:00,0.2
2023-01-14T14:45:46.926000,2023-05-22T19:50:23.746956+00:00,2022-12-27T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-28T00:00:00+01:00,4.8
2023-01-14T14:45:26.014000,2023-05-22T19:50:19.827864+00:00,2022-12-26T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-27T00:00:00+01:00,0.0
2023-01-14T14:45:05.659000,2023-05-22T19:50:04.661511+00:00,2022-12-25T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-26T00:00:00+01:00,0.0
2023-01-14T14:44:43.242000,2023-05-22T19:50:00.636097+00:00,2022-12-24T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-25T00:00:00+01:00,0.8
2023-01-14T14:44:22.154000,2023-05-22T19:49:56.588002+00:00,2022-12-23T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-24T00:00:00+01:00,1.9
2023-01-14T14:44:00.632000,2023-05-22T19:49:42.840190+00:00,2022-12-22T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-23T00:00:00+01:00,1.0
2023-01-14T14:43:38.887000,2023-05-22T19:49:38.979116+00:00,2022-12-21T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-22T00:00:00+01:00,0.1
2023-01-14T14:43:20.847000,2023-05-22T19:49:35.256640+00:00,2022-12-20T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-21T00:00:00+01:00,0.0
2023-01-14T14:43:04.567000,2023-05-22T19:49:20.462387+00:00,2022-12-19T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-20T00:00:00+01:00,0.0
2023-01-14T14:42:42.614000,2023-05-22T19:49:16.522308+00:00,2022-12-18T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-19T00:00:00+01:00,4.0
2023-01-14T14:42:20.587000,2023-05-22T19:49:13.027674+00:00,2022-12-17T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-18T00:00:00+01:00,0.3
2023-01-14T14:41:59.324000,2023-05-22T19:48:57.514225+00:00,2022-12-16T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-17T00:00:00+01:00,5.7
2023-01-14T14:41:37.606000,2023-05-22T19:48:53.648986+00:00,2022-12-15T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-16T00:00:00+01:00,5.3
2023-01-14T14:41:15.523000,2023-05-22T19:48:49.892691+00:00,2022-12-14T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-15T00:00:00+01:00,2.1
2023-01-14T14:40:53.930000,2023-05-22T19:48:34.475838+00:00,2022-12-13T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-14T00:00:00+01:00,2.6
2023-01-14T14:40:32.070000,2023-05-22T19:48:30.170105+00:00,2022-12-12T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-13T00:00:00+01:00,1.3
2023-01-14T14:40:10.072000,2023-05-22T19:48:26.483539+00:00,2022-12-11T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-12T00:00:00+01:00,0.4
2023-01-14T14:39:50.873000,2023-05-22T19:48:11.228473+00:00,2022-12-10T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-11T00:00:00+01:00,0.6
2023-01-14T14:39:35.411000,2023-05-22T19:48:07.506219+00:00,2022-12-09T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-10T00:00:00+01:00,0.9
2023-01-14T14:39:14.506000,2023-05-22T19:48:04.228984+00:00,2022-12-08T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-09T00:00:00+01:00,5.8
2023-01-14T14:38:56.359000,2023-05-22T19:47:49.976768+00:00,2022-12-07T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-08T00:00:00+01:00,0.7
2023-01-14T14:38:34.713000,2023-05-22T19:47:46.166878+00:00,2022-12-06T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-07T00:00:00+01:00,0.0
2023-01-14T14:38:13.347000,2023-05-22T19:47:42.426892+00:00,2022-12-05T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-06T00:00:00+01:00,0.0
2023-01-14T14:37:52.271000,2023-05-22T19:47:26.825057+00:00,2022-12-04T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-05T00:00:00+01:00,0.0
2023-01-14T14:37:30.308000,2023-05-22T19:47:22.999315+00:00,2022-12-03T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-04T00:00:00+01:00,0.1
2023-01-14T14:37:08.827000,2023-05-22T19:47:19.681644+00:00,2022-12-02T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-03T00:00:00+01:00,0.0
2023-01-14T14:36:46.924000,2023-05-22T19:47:05.498903+00:00,2022-12-01T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-02T00:00:00+01:00,0.4
2023-01-14T14:36:26.782000,2023-05-22T19:47:01.768640+00:00,2022-11-30T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-12-01T00:00:00+01:00,0.4
2023-01-14T14:36:11.980000,2023-05-22T19:46:58.117110+00:00,2022-11-29T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-11-30T00:00:00+01:00,0.0
2023-01-14T14:35:49.027000,2023-05-22T19:46:45.279077+00:00,2022-11-28T00:00:00.001000+01:00,0169,Høje-Taastrup,bright_sunshine,manual,day,2022-11-29T00:00:00+01:00,0.8
